CLASS,VALUE
F         ,84000
F         ,37200
F         ,60000
F         ,30000
M           ,96000
M           ,54000
F         ,40384.8
F         ,60000
F         ,32400
M           ,12000
M           ,6000
F         ,65000.04
M           ,114549.84
M           ,16857.24
M           ,114549.84
M           ,16857.24
F         ,154788
M           ,41367
M           ,48999.72
F         ,30169.32
F         ,57000
F         ,32976
F         ,37449.96
F         ,54082.08
M           ,41704.2
F         ,71454.6
F         ,59004
F         ,81427.44
M           ,47400
F         ,36238.08
F         ,36238.08
F         ,41976
F         ,65000.04
F         ,39411.24
F         ,16500
F         ,15450
F         ,18450
F         ,15300
M           ,18000
M           ,15300
M           ,20028
M           ,19146
F         ,21898.92
F         ,18012
F         ,28715.64
F         ,28236.96
M           ,50134.56
M           ,41400
M           ,75000
M           ,94000.08
M           ,43290
M           ,90000
F         ,59916
F         ,99999.96
F         ,80559.96
M           ,94999.92
M           ,52800
M           ,78000
M           ,85000.08
F         ,32400
F         ,55500
M           ,38880
M           ,80000.04
M           ,130000.08
F         ,64773.6
F         ,36000
F         ,40000.08
M           ,49076.16
M           ,154180.56
M           ,68042.04
M           ,69999.96
M           ,110036.04
F         ,70000.08
M           ,65845.8
M           ,64493.04
M           ,135000
F         ,38800.08
F         ,50400
M           ,91297.44
M           ,95000.04
M           ,119077.2
F         ,18023.16
F         ,1365.48
F         ,51000
M           ,59583.24
F         ,54888
M           ,42071.4
M           ,66000
F         ,30528
F         ,72122.4
M           ,50000.04
F         ,78000
F         ,54000
M           ,21891.24
M           ,66000
F         ,7200
F         ,32436
M           ,62000.04
F         ,49680
M           ,55000.08
M           ,84600
M           ,35171.64
M           ,84000
M           ,12000
F         ,37524
F         ,42000
M           ,80000.04
M           ,84999.96
F         ,96000
M           ,39999.96
F         ,92045.28
M           ,72960
M           ,39218.4
F         ,42999.96
M           ,75158.28
F         ,55186.8
F         ,120000
F         ,31291.2
M           ,46800
M           ,68574.72
M           ,7200
M           ,102500.04
F         ,41117.28
M           ,7200
F         ,36252
F         ,37992
F         ,60000
F         ,60102
F         ,65004
M           ,114000
F         ,18000
F         ,46800
F         ,52487.76
M           ,30000
M           ,45585.72
F         ,69999.96
F         ,54000
F         ,77580
M           ,47291.52
M           ,33176.28
F         ,72000
F         ,7200
M           ,36003.96
M           ,30000
F         ,45000
M           ,43200
M           ,80697
M           ,95243.64
F         ,48000
F         ,54000
F         ,7200
M           ,40863.48
M           ,120471.48
M           ,54000
F         ,39289.8
F         ,46746
M           ,37020
F         ,64512
F         ,49200
